,issue_date,loan_amnt,loan_status,term,int_rate,installment,sub_grade,verification_status,addr_state,total_paymnt
4208,5-15,10000.0,1,1,0.29,333.53,11,1,East,2321.05
4195,5-15,16200.0,1,0,19.19,421.94,23,1,South,2910.4
4190,5-15,12000.0,1,0,0.29,400.24,11,0,South,3193.73
4188,5-15,10000.0,1,1,0.17,318.79,7,0,South,2545.23
4182,5-15,14525.0,1,0,17.57,365.46,19,0,South,2895.32
4166,5-15,15000.0,1,0,0.53,330.12,10,0,South,2631.35
4162,5-15,9000.0,1,1,0.93,273.52,1,1,West,9028.87
4141,5-15,24600.0,0,0,20.49,658.48,24,1,South,3264.4
4140,5-15,20000.0,1,0,0.29,447.83,11,1,MidWest,20136.56
4111,5-15,14000.0,1,0,18.84,361.94,25,0,South,2866.21
4202,5-15,5000.0,1,1,7.524344210526315,159.4,7,1,South,1272.65
4319,5-15,24000.0,1,0,13.99,558.32,15,1,West,4447.91
4343,5-15,35000.0,0,0,13.33,802.29,13,1,South,5551.23
4350,5-15,22000.0,1,0,16.55,541.45,20,1,South,4149.54
4645,5-15,10800.0,1,1,17.86,389.69,20,0,East,3106.8
4630,5-15,35000.0,1,1,17.86,1262.88,20,1,West,10033.58
4629,5-15,8000.0,1,1,0.99,258.1,10,0,South,2060.36
4586,5-15,7500.0,1,1,14.65,258.71,15,0,South,1825.27
4582,5-15,12000.0,0,0,17.86,303.81,20,1,South,2114.76
4546,5-15,7000.0,1,1,0.99,440.92,9,1,South,1595.43
4530,5-15,10000.0,1,1,13.33,338.54,13,0,West,2700.91
4517,5-15,25600.0,1,0,7.524344210526315,533.53,7,1,South,4255.2
4513,5-15,26750.0,1,1,0.69,897.33,12,1,0,6356.74
4486,5-15,35000.0,1,1,0.69,1174.07,12,1,West,9158.14
4484,5-15,3500.0,0,1,0.99,112.92,8,1,East,901.42
4482,5-15,35000.0,1,0,13.33,802.29,13,1,South,6392.4
4472,5-15,18000.0,1,1,0.39,550.79,2,0,West,4412.71
4459,5-15,15925.0,0,0,21.67,436.85,25,1,South,1709.06
4442,5-15,30000.0,1,0,15.61,723.34,16,1,West,5760.7
4412,5-15,11200.0,1,1,13.33,440.92,13,0,South,3016.69
4393,5-15,20000.0,1,1,16.55,708.59,17,1,West,5061.99
4389,5-15,15600.0,1,0,19.52,409.15,23,1,0,3256.28
4371,5-15,9600.0,1,1,0.53,316.71,10,0,West,2204.67
4362,5-15,16800.0,1,1,13.99,574.11,14,1,East,4494.95
4354,5-15,11625.0,1,1,0.29,387.73,11,0,0,3093.9
4671,5-15,4450.0,0,1,16.99,158.64,18,0,East,1264.92
2767,5-15,30000.0,1,1,13.33,1015.6,13,1,East,8080.37
2757,5-15,11000.0,1,1,0.92,339.25,4,0,West,2705.54
2741,5-15,8400.0,1,1,0.89,262.8,5,0,South,2095.04
931,5-15,25200.0,1,0,13.99,586.23,14,1,South,4084.02
929,5-15,32000.0,1,1,0.89,986.46,3,1,MidWest,6892.97
876,5-15,10000.0,1,1,0.99,327.34,9,0,MidWest,10618.33
835,5-15,16000.0,1,0,15.61,385.79,16,1,MidWest,2686.65
807,5-15,24000.0,1,0,16.99,440.92,18,1,East,4725.41
